exchange,code,name,listed_from,listed_to_exclusive,list_evidence_class,delist_evidence_class
SZSE,002176,江特电机,2007-10-12,,RETROSPECTIVE_PRIMARY,
SZSE,002177,御银股份,2007-11-01,,RETROSPECTIVE_PRIMARY,
SZSE,002178,延华智能,2007-11-01,,RETROSPECTIVE_PRIMARY,
SZSE,002179,中航光电,2007-11-01,,RETROSPECTIVE_PRIMARY,
SZSE,002180,奔图科技,2007-11-13,,RETROSPECTIVE_PRIMARY,
SZSE,002181,粤 传 媒,2007-11-16,,RETROSPECTIVE_PRIMARY,
SZSE,002182,宝武镁业,2007-11-13,,RETROSPECTIVE_PRIMARY,
SZSE,002183,怡 亚 通,2007-11-13,,RETROSPECTIVE_PRIMARY,
SZSE,002184,海得控制,2007-11-16,,RETROSPECTIVE_PRIMARY,
SZSE,002185,华天科技,2007-11-20,,RETROSPECTIVE_PRIMARY,
SZSE,002186,全 聚 德,2007-11-20,,RETROSPECTIVE_PRIMARY,
SZSE,002187,广百股份,2007-11-22,,RETROSPECTIVE_PRIMARY,
SZSE,002188,中天服务,2007-11-22,,RETROSPECTIVE_PRIMARY,
SZSE,002189,中光学,2007-12-03,,RETROSPECTIVE_PRIMARY,
SZSE,002190,成飞集成,2007-12-03,,RETROSPECTIVE_PRIMARY,
SZSE,002191,劲嘉股份,2007-12-05,,RETROSPECTIVE_PRIMARY,
SZSE,002192,融捷股份,2007-12-05,,RETROSPECTIVE_PRIMARY,
SZSE,002193,ST如意,2007-12-07,,RETROSPECTIVE_PRIMARY,
SZSE,002194,武汉凡谷,2007-12-07,,RETROSPECTIVE_PRIMARY,
SZSE,002195,岩山科技,2007-12-12,,RETROSPECTIVE_PRIMARY,
SZSE,002196,方正电机,2007-12-12,,RETROSPECTIVE_PRIMARY,
SZSE,002197,证通电子,2007-12-18,,RETROSPECTIVE_PRIMARY,
SZSE,002198,ST嘉应,2007-12-18,,RETROSPECTIVE_PRIMARY,
SZSE,002199,东晶电子,2007-12-21,,RETROSPECTIVE_PRIMARY,
SZSE,002200,交投生态,2007-12-21,,RETROSPECTIVE_PRIMARY,
SZSE,002201,九鼎新材,2007-12-26,,RETROSPECTIVE_PRIMARY,
SZSE,002202,金风科技,2007-12-26,,RETROSPECTIVE_PRIMARY,
SZSE,002203,海亮股份,2008-01-16,,RETROSPECTIVE_PRIMARY,
SZSE,002204,大连重工,2008-01-16,,RETROSPECTIVE_PRIMARY,
SZSE,002205,国统股份,2008-01-23,,RETROSPECTIVE_PRIMARY,
SZSE,002206,海 利 得,2008-01-23,,RETROSPECTIVE_PRIMARY,
SZSE,002207,*ST准油,2008-01-28,,RETROSPECTIVE_PRIMARY,
SZSE,002208,合肥城建,2008-01-28,,RETROSPECTIVE_PRIMARY,
SZSE,002209,达 意 隆,2008-01-30,,RETROSPECTIVE_PRIMARY,
SZSE,002210,飞马国际,2008-01-30,,RETROSPECTIVE_PRIMARY,
SZSE,002211,ST宏达,2008-02-01,,RETROSPECTIVE_PRIMARY,
SZSE,002212,天融信,2008-02-01,,RETROSPECTIVE_PRIMARY,
SZSE,002213,大为股份,2008-02-01,,RETROSPECTIVE_PRIMARY,
SZSE,002214,*ST大立,2008-02-18,,RETROSPECTIVE_PRIMARY,
SZSE,002215,诺 普 信,2008-02-18,,RETROSPECTIVE_PRIMARY,
SZSE,002216,三全食品,2008-02-20,,RETROSPECTIVE_PRIMARY,
SZSE,002217,ST合力泰,2008-02-20,,RETROSPECTIVE_PRIMARY,
SZSE,002218,拓日新能,2008-02-28,,RETROSPECTIVE_PRIMARY,
SZSE,002219,新里程,2008-03-06,,RETROSPECTIVE_PRIMARY,
SZSE,002221,东华能源,2008-03-06,,RETROSPECTIVE_PRIMARY,
SZSE,002222,福晶科技,2008-03-19,,RETROSPECTIVE_PRIMARY,
SZSE,002223,鱼跃医疗,2008-04-18,,RETROSPECTIVE_PRIMARY,
SZSE,002224,三 力 士,2008-04-25,,RETROSPECTIVE_PRIMARY,
SZSE,002225,濮耐股份,2008-04-25,,RETROSPECTIVE_PRIMARY,
SZSE,002226,江南化工,2008-05-06,,RETROSPECTIVE_PRIMARY,
SZSE,002227,*ST特迅,2008-05-06,,RETROSPECTIVE_PRIMARY,
SZSE,002228,合兴包装,2008-05-08,,RETROSPECTIVE_PRIMARY,
SZSE,002229,鸿博股份,2008-05-08,,RETROSPECTIVE_PRIMARY,
SZSE,002230,科大讯飞,2008-05-12,,RETROSPECTIVE_PRIMARY,
SZSE,002232,启明信息,2008-05-09,,RETROSPECTIVE_PRIMARY,
SZSE,002233,塔牌集团,2008-05-16,,RETROSPECTIVE_PRIMARY,
SZSE,002234,民和股份,2008-05-16,,RETROSPECTIVE_PRIMARY,
SZSE,002235,安妮股份,2008-05-16,,RETROSPECTIVE_PRIMARY,
SZSE,002236,大华股份,2008-05-20,,RETROSPECTIVE_PRIMARY,
SZSE,002237,恒邦股份,2008-05-20,,RETROSPECTIVE_PRIMARY,
SZSE,002238,天威视讯,2008-05-26,,RETROSPECTIVE_PRIMARY,
SZSE,002239,奥特佳,2008-05-22,,RETROSPECTIVE_PRIMARY,
SZSE,002240,盛新锂能,2008-05-23,,RETROSPECTIVE_PRIMARY,
SZSE,002241,歌尔股份,2008-05-22,,RETROSPECTIVE_PRIMARY,
SZSE,002242,九阳股份,2008-05-28,,RETROSPECTIVE_PRIMARY,
SZSE,002243,力合科创,2008-05-28,,RETROSPECTIVE_PRIMARY,
SZSE,002244,滨江集团,2008-05-29,,RETROSPECTIVE_PRIMARY,
SZSE,002245,蔚蓝锂芯,2008-06-05,,RETROSPECTIVE_PRIMARY,
SZSE,002246,北化股份,2008-06-05,,RETROSPECTIVE_PRIMARY,
SZSE,002247,聚力文化,2008-06-12,,RETROSPECTIVE_PRIMARY,
SZSE,002248,华东数控,2008-06-12,,RETROSPECTIVE_PRIMARY,
SZSE,002249,大洋电机,2008-06-19,,RETROSPECTIVE_PRIMARY,
SZSE,002250,联化科技,2008-06-19,,RETROSPECTIVE_PRIMARY,
